Local Decode(TotalCH*Resolution*FPS),Local Decode(Total Bit Rate),Smart Guard(General Motion)(Total DecodeResolution*FPS),Smart Guard(General Motion)(Total Decode Bit Rate),Live View Connection(Server Total UpLoad Bit Rate),Always Record(Total Record Bit Rate),Metadata,Edge Event,IVS Channel(Resolution*FPS),IVS Channel(Bit Rate),const,Loading Avg
2.00E+08,6144,0,0,0,0,0,0,0,0,0,0.1271
4.00E+08,12288,0,0,0,0,0,0,0,0,0,0.2738
6.00E+08,18432,0,0,0,0,0,0,0,0,0,0.3408
7.00E+08,24576,0,0,0,0,0,0,0,0,0,0.8481
6.00E+08,36864,0,0,0,0,0,0,0,0,0,0.741
5.00E+08,8192,0,0,0,0,0,0,0,0,0,0.201
6.00E+08,10240,0,0,0,0,0,0,0,0,0,0.26
9.00E+08,14336,0,0,0,0,0,0,0,0,0,0.522
1.00E+09,17408,0,0,0,0,0,0,0,0,0,0.777
2.00E+08,12288,0,0,0,0,0,0,0,0,0,0.278
2.00E+08,16384,0,0,0,0,0,0,0,0,0,0.411
3.00E+08,20480,0,0,0,0,0,0,0,0,0,0.577
3.00E+08,22528,0,0,0,0,0,0,0,0,0,0.746
1.00E+08,24576,0,0,0,0,0,0,0,0,0,0.183
2.00E+08,49152,0,0,0,0,0,0,0,0,0,0.42
3.00E+08,65536,0,0,0,0,0,0,0,0,0,0.6106
3.00E+08,12288,0,0,0,0,0,0,0,0,0,0.2416
4.00E+08,16384,0,0,0,0,0,0,0,0,0,0.3521
4.00E+08,28672,0,0,0,0,0,0,0,0,0,0.4004
5.00E+08,32768,0,0,0,0,0,0,0,0,0,0.5133
5.00E+08,34816,0,0,0,0,0,0,0,0,0,0.5644
4.00E+07,4096,0,0,0,0,0,0,0,0,0,0.089
8.00E+07,8192,0,0,0,0,0,0,0,0,0,0.1245
1.00E+08,12288,0,0,0,0,0,0,0,0,0,0.153
2.00E+08,16384,0,0,0,0,0,0,0,0,0,0.185
2.00E+08,18432,0,0,0,0,0,0,0,0,0,0.2111
2.00E+08,20480,0,0,0,0,0,0,0,0,0,0.2422
1.00E+08,16384,0,0,0,0,0,0,0,0,0,0.254
2.00E+08,24576,0,0,0,0,0,0,0,0,0,0.42
2.00E+08,32768,0,0,0,0,0,0,0,0,0,0.6206
2.00E+08,36864,0,0,0,0,0,0,0,0,0,0.74
5.00E+08,20480,0,0,0,0,0,0,0,0,0,0.496
6.00E+08,24576,0,0,0,0,0,0,0,0,0,0.648
7.00E+08,26624,0,0,0,0,0,0,0,0,0,0.7603
2.00E+08,24576,0,0,0,0,0,0,0,0,0,0.2248
3.00E+08,40960,0,0,0,0,0,0,0,0,0,0.4062
6.00E+08,38912,0,0,0,0,0,0,0,0,0,0.682
6.00E+08,40960,0,0,0,0,0,0,0,0,0,0.759
6.00E+08,18432,0,0,0,0,0,0,0,0,0,0.4354
6.00E+08,20480,0,0,0,0,0,0,0,0,0,0.544
7.00E+08,22528,0,0,0,0,0,0,0,0,0,0.6668
4.00E+08,49152,0,0,0,0,0,0,0,0,0,0.514
5.00E+08,61440,0,0,0,0,0,0,0,0,0,0.734
