Local Decode(TotalCH*Resolution*FPS),Local Decode(Total Bit Rate),Smart Guard(General Motion)(Total DecodeResolution*FPS),Smart Guard(General Motion)(Total Decode Bit Rate),Live View Connection(Server Total UpLoad Bit Rate),Always Record(Total Record Bit Rate),Metadata,Edge Event,IVS Channel(Resolution*FPS),IVS Channel(Bit Rate),const,Loading Avg
62208000,2048,0,0,0,0,0,0,0,0,0,0.3053
124416000,4096,0,0,0,0,0,0,0,0,0,0.5028
186624000,6144,0,0,0,0,0,0,0,0,0,0.7562
165888000,12288,0,0,0,0,0,0,0,0,0,0.6304
193536000,14336,0,0,0,0,0,0,0,0,0,0.806
62208000,4096,0,0,0,0,0,0,0,0,0,0.3366
124416000,8192,0,0,0,0,0,0,0,0,0,0.5558
186624000,12288,0,0,0,0,0,0,0,0,0,0.8075
165888000,16384,0,0,0,0,0,0,0,0,0,0.7504
186624000,18432,0,0,0,0,0,0,0,0,0,0.8419
