Local Decode(TotalCH*Resolution*FPS),Local Decode(Total Bit Rate),Smart Guard(General Motion)(Total DecodeResolution*FPS),Smart Guard(General Motion)(Total Decode Bit Rate),Live View Connection(Server Total UpLoad Bit Rate),Always Record(Total Record Bit Rate),Metadata,Edge Event,IVS Channel(Resolution*FPS),IVS Channel(Bit Rate),const,Loading Avg
2.07E+08,78800,0,0,0,0,0,0,0,0,0,0.6084
51840000,19700,0,0,0,315200,0,0,0,0,0,0.2234
1.04E+08,39400,0,0,0,315200,0,0,0,0,0,0.3477
1.56E+08,59100,0,0,0,315200,0,0,0,0,0,0.5021
2.07E+08,78800,0,0,0,315200,0,0,0,0,0,0.6683
51840000,10500,0,0,0,168000,0,0,0,0,0,0.16
1.04E+08,21000,0,0,0,168000,0,0,0,0,0,0.24
1.56E+08,31500,0,0,0,168000,0,0,0,0,0,0.38
46080000,15600,0,0,0,124800,0,0,0,0,0,0.1655
92160000,31200,0,0,0,124800,0,0,0,0,0,0.2113
1.61E+08,54600,0,0,0,124800,0,0,0,0,0,0.3694
3.69E+08,124800,0,0,0,124800,0,0,0,0,0,0.81
41472000,15600,0,0,0,249600,0,0,0,0,0,0.1573
1.66E+08,62400,0,0,0,249600,0,0,0,0,0,0.4927
2.18E+08,83300,0,0,0,190400,0,0,0,0,0,0.671
2.07E+08,42000,0,0,0,42000,0,0,0,0,0,0.3775
2.07E+08,41400,0,0,0,41400,0,0,0,0,0,0.3895
2.30E+08,46000,0,0,0,46000,0,0,0,0,0,0.4678
2.53E+08,50600,0,0,0,50600,0,0,0,0,0,0.53
2.90E+08,109200,0,0,0,109200,0,0,0,0,0,0.727
2.49E+08,48000,0,0,0,48000,0,0,0,0,0,0.4728
