Local Decode(TotalCH*Resolution*FPS),Local Decode(Total Bit Rate),Smart Guard(General Motion)(Total DecodeResolution*FPS),Smart Guard(General Motion)(Total Decode Bit Rate),Live View Connection(Server Total UpLoad Bit Rate),Always Record(Total Record Bit Rate),Metadata,Edge Event,const,Loading Avg
518400000,40960,0,0,0,40960,0,0,0,0.9676
124416000,16384,0,0,0,16384,0,0,0,0.1184
155520000,20480,0,0,0,20480,0,0,0,0.1612
186624000,24576,0,0,0,24576,0,0,0,0.2053
217728000,28672,0,0,0,28672,0,0,0,0.2449
248832000,32768,0,0,0,32768,0,0,0,0.299
311040000,40960,0,0,0,40960,0,0,0,0.4495
342144000,45056,0,0,0,45056,0,0,0,0.6341
373248000,49152,0,0,0,49152,0,0,0,0.7746
124416000,8192,0,0,0,8192,0,0,0,0.0823
248832000,16384,0,0,0,16384,0,0,0,0.1975
311040000,20480,0,0,0,20480,0,0,0,0.3165
124416000,4096,0,0,0,4096,0,0,0,0.0745
248832000,8192,0,0,0,8192,0,0,0,0.1636
342144000,22528,0,0,0,22528,0,0,0,0.4083
404352000,13312,0,0,0,13312,0,0,0,0.5906
